UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-DFO-FL-1985-0001,1985-06-23,1985-06-27,4,Heavy rain,NA,NA,NA,14.5398,75.0937,1,254234.6,95,NA,25000,NA,NA,NA,DFO,27
UEI-DFO-FL-1985-0002,1985-07-18,1985-07-30,12,Heavy rain,NA,NA,NA,32.8353,76.9103,1,117441.17,340,NA,20000,NA,NA,NA,DFO,33
UEI-DFO-FL-1985-0003,1985-09-13,1985-10-15,32,Heavy rain,NA,NA,NA,26.4816,82.8434,2,89994.67,557,NA,152000,NA,NA,NA,DFO,53
UEI-DFO-FL-1985-0004,1985-10-18,1985-10-20,2,Tropical cyclone,NA,NA,NA,21.1495,86.7154,2,46758.64,49,NA,150000,NA,NA,NA,DFO,61
UEI-DFO-FL-1986-0001,1986-06-15,1986-08-20,66,Monsoonal rain,NA,NA,NA,25.6339,84.0726,1,507167.44,258,NA,3040000,NA,NA,NA,DFO,93
UEI-DFO-FL-1986-0002,1986-08-15,1986-08-22,7,Monsoonal rain,NA,NA,NA,17.4331,80.187,1,107355.33,150,NA,3000000,NA,NA,NA,DFO,98
UEI-DFO-FL-1986-0003,1986-09-22,1986-10-10,18,Heavy rain,NA,NA,NA,23.6547,89.4296,1,231516.28,49,NA,700000,NA,NA,NA,DFO,106
UEI-DFO-FL-1988-0001,1988-05-23,1988-11-06,167,Monsoonal rain,NA,NA,NA,26.4813,92.0622,1,42285.99,76,NA,43000,NA,NA,NA,DFO,180
UEI-DFO-FL-1988-0002,1988-06-21,1988-07-14,23,Heavy rain,NA,NA,NA,26.988,92.926,1,70501.83,34,NA,2000000,NA,NA,NA,DFO,190
UEI-DFO-FL-1988-0003,1988-04-07,1988-08-08,123,Monsoonal rain,NA,NA,NA,28.886,80.7246,2,847737.26,233,NA,500000,NA,NA,NA,DFO,196
UEI-DFO-FL-1988-0004,1988-07-14,1988-07-27,13,Heavy rain,NA,NA,NA,22.0189,71.1117,1,76352.55,97,NA,25000,NA,NA,NA,DFO,203
UEI-DFO-FL-1988-0005,1988-07-31,1988-02-08,NA,Heavy rain,NA,NA,NA,18.4311,80.713,1,94871.79,50,NA,0,NA,NA,NA,DFO,214
UEI-DFO-FL-1988-0006,1988-08-23,1988-09-15,23,Monsoonal rain,NA,NA,NA,26.5037,86.5429,1,626872.46,876,NA,2000,NA,NA,NA,DFO,228
UEI-DFO-FL-1988-0007,1988-09-21,1988-08-10,NA,Heavy rain,NA,NA,NA,30.9339,75.0459,2,268528.55,731,NA,1250000,NA,NA,NA,DFO,253
UEI-DFO-FL-1988-0008,1988-03-10,1988-04-10,31,Heavy rain,NA,NA,NA,19.1131,72.8962,1,605.213,23,NA,0,NA,NA,NA,DFO,255
UEI-DFO-FL-1989-0001,1989-07-22,1989-07-31,9,Monsoonal rain,NA,NA,NA,15.1816,76.4736,1,905209.24,780,NA,0,NA,NA,NA,DFO,330
UEI-DFO-FL-1989-0002,1989-05-07,1989-10-08,154,Monsoonal rain,NA,NA,NA,24.8678,92.8291,2,112816.35,31,NA,32000,NA,NA,NA,DFO,334
UEI-DFO-FL-1989-0003,1989-03-09,1989-10-09,214,Heavy rain,NA,NA,NA,26.4375,80.8611,1,204979.38,7,NA,0,NA,NA,NA,DFO,360
UEI-DFO-FL-1990-0001,1990-03-21,1990-03-22,1,Torrential rain,NA,NA,NA,33.8036,76.2592,1,90818.98,17,NA,0,NA,NA,NA,DFO,401
UEI-DFO-FL-1990-0002,1990-10-05,1990-05-13,NA,Tropical cyclone,NA,NA,NA,16.2843,80.6926,1,267344.4,430,NA,470000,NA,NA,NA,DFO,411
UEI-DFO-FL-1990-0003,1990-06-13,1990-06-18,5,Monsoonal rain,NA,NA,NA,26.7553,92.7754,2,53045.31,21,NA,0,NA,NA,NA,DFO,419
UEI-DFO-FL-1990-0004,1990-03-07,1990-07-24,139,Monsoonal rain,NA,NA,NA,26.7055,78.8703,1,1100663.3,425,NA,63517,NA,NA,NA,DFO,431
UEI-DFO-FL-1990-0005,1990-08-13,1990-08-14,1,Heavy rain,NA,NA,NA,27.5435,80.6956,1,284926.61,17,NA,0,NA,NA,NA,DFO,447
UEI-DFO-FL-1990-0006,1990-08-19,1990-08-25,6,Monsoonal rain,NA,NA,NA,22.4257,71.3244,1,186161.6,50,NA,0,NA,NA,NA,DFO,450
UEI-DFO-FL-1990-0007,1990-10-17,1990-10-18,1,Heavy rain,NA,NA,NA,26.0747,92.817,1,93839.75,10,NA,6000,NA,NA,NA,DFO,472
UEI-DFO-FL-1990-0008,1990-10-24,1990-10-28,4,Monsoonal rain,NA,NA,NA,11.3982,77.0504,1,13576.31,44,NA,0,NA,NA,NA,DFO,474
UEI-DFO-FL-1991-0001,1991-07-05,1991-11-05,123,Tropical cyclone,NA,NA,NA,24.4696,92.4232,1,26042.82,13,NA,25000,NA,NA,NA,DFO,510
UEI-DFO-FL-1991-0002,1991-10-06,1991-12-06,61,Monsoonal rain,NA,NA,NA,15.733,73.7324,2,491361.5,72,NA,300000,NA,NA,NA,DFO,521
UEI-DFO-FL-1991-0003,1991-07-13,1991-07-19,6,Monsoonal rain,NA,NA,NA,26.6059,92.9592,1,55550.83,25,NA,400000,NA,NA,NA,DFO,539
UEI-DFO-FL-1991-0004,1991-07-29,1991-07-31,2,Monsoonal rain,NA,NA,NA,20.9474,79.1574,1,47249.13,500,NA,6000,NA,NA,NA,DFO,553
UEI-DFO-FL-1991-0005,1991-08-14,1991-08-18,4,Heavy rain,NA,NA,NA,20.2047,84.4178,1,151947.06,15,NA,0,NA,NA,NA,DFO,570
UEI-DFO-FL-1991-0006,1991-08-15,1991-08-29,14,Monsoonal rain,NA,NA,NA,28.3671,81.0334,1,547679.02,88,NA,0,NA,NA,NA,DFO,571
UEI-DFO-FL-1991-0007,1991-01-09,1991-09-14,248,Monsoonal rain,NA,NA,NA,24.707,85.7348,1,170873.64,0,NA,87500,NA,NA,NA,DFO,578
UEI-DFO-FL-1991-0008,1991-09-14,1991-09-15,1,Monsoonal rain,NA,NA,NA,24.3395,87.8328,1,91960.65,21,NA,0,NA,NA,NA,DFO,585
UEI-DFO-FL-1991-0009,1991-11-13,1991-11-18,5,Heavy rain,NA,NA,NA,14.0025,79.4752,1,599564.89,90,NA,85000,NA,NA,NA,DFO,598
UEI-DFO-FL-1992-0001,1992-06-15,1992-07-23,38,Monsoonal rain,NA,NA,NA,16.5216,75.9695,1,752428.66,90,NA,8000,NA,NA,NA,DFO,656
UEI-DFO-FL-1992-0002,1992-10-07,1992-07-20,NA,Heavy rain,NA,NA,NA,26.9122,94.46,1,28221.72,0,NA,0,NA,NA,NA,DFO,667
UEI-DFO-FL-1992-0003,1992-07-26,1992-07-08,NA,Monsoonal rain,NA,NA,NA,20.5033,86.0449,1,44021.23,16,NA,0,NA,NA,NA,DFO,672
UEI-DFO-FL-1992-0004,1992-01-08,1992-03-09,61,Monsoonal rain,NA,NA,NA,24.8678,80.7003,1,518125.28,40,NA,2000,NA,NA,NA,DFO,675
UEI-DFO-FL-1992-0005,1992-12-09,1992-11-20,NA,Tropical cyclone,NA,NA,NA,13.0242,78.8487,2,552562.43,263,NA,20000,NA,NA,NA,DFO,694
UEI-DFO-FL-1993-0001,1993-04-06,1993-06-22,77,Monsoonal rain,NA,NA,NA,24.9382,92.0974,1,259045.68,238,NA,950000,NA,NA,NA,DFO,747
UEI-DFO-FL-1993-0002,1993-08-07,1993-08-13,6,Monsoonal rain,NA,NA,NA,25.1622,89.7567,2,531506.66,3083,NA,9370926,NA,NA,NA,DFO,757
UEI-DFO-FL-1993-0003,1993-09-09,1993-09-17,8,Heavy rain,NA,NA,NA,27.9917,78.9675,1,65928.48,232,NA,4590,NA,NA,NA,DFO,778
UEI-DFO-FL-1993-0004,1993-11-10,1993-10-21,NA,Torrential rain,NA,NA,NA,13.407,75.4042,1,40595.2,35,NA,40000,NA,NA,NA,DFO,791
UEI-DFO-FL-1993-0005,1993-10-11,1993-11-14,34,Heavy rain,NA,NA,NA,11.054,77.5024,1,40501.37,95,NA,0,NA,NA,NA,DFO,798
UEI-DFO-FL-1993-0006,1993-04-12,1993-12-15,247,Tropical cyclone,NA,NA,NA,12.5851,79.9572,1,7968.64,70,NA,45000,NA,NA,NA,DFO,804
UEI-DFO-FL-1994-0001,1994-01-07,1994-07-24,198,Monsoonal rain,NA,NA,NA,20.6258,76.6191,1,1981837.41,617,NA,800000,NA,NA,NA,DFO,855
UEI-DFO-FL-1994-0002,1994-03-07,1994-12-07,275,Monsoonal rain,NA,NA,NA,31.7869,77.252,1,52338.52,60,NA,0,NA,NA,NA,DFO,858
UEI-DFO-FL-1994-0003,1994-04-08,1994-11-08,214,Monsoonal rain,NA,NA,NA,27.586,80.6237,1,292130.64,53,NA,3000,NA,NA,NA,DFO,879
UEI-DFO-FL-1994-0004,1994-08-08,1994-10-08,61,Torrential rain,NA,NA,NA,31.7821,76.9177,1,16795.7,11,NA,0,NA,NA,NA,DFO,880
UEI-DFO-FL-1994-0005,1994-08-20,1994-08-23,3,Torrential rain,NA,NA,NA,31.7668,77.27,1,14450.04,9,NA,0,NA,NA,NA,DFO,887
UEI-DFO-FL-1994-0006,1994-08-26,1994-02-09,NA,Monsoonal rain,NA,NA,NA,20.7866,79.2684,1,44159.25,26,NA,0,NA,NA,NA,DFO,892
UEI-DFO-FL-1994-0007,1994-08-31,1994-05-09,NA,Monsoonal rain,NA,NA,NA,31.5294,77.0555,1,5275.13,20,NA,0,NA,NA,NA,DFO,894
UEI-DFO-FL-1994-0008,1994-02-09,1994-07-09,150,Monsoonal rain,NA,NA,NA,20.1358,84.4369,1,154649.2,0,NA,0,NA,NA,NA,DFO,895
UEI-DFO-FL-1994-0009,1994-10-27,1994-10-31,4,Tropical cyclone,NA,NA,NA,10.7214,78.7248,1,89229.9,40,NA,0,NA,NA,NA,DFO,909
UEI-DFO-FL-1994-0010,1994-10-30,1994-04-11,NA,Tropical cyclone,NA,NA,NA,16.2498,80.0422,1,110657.58,230,NA,16000,NA,NA,NA,DFO,911
UEI-DFO-FL-1995-0001,1995-02-06,1995-03-06,28,Heavy rain,NA,NA,NA,23.2582,92.8575,1,20147.72,40,NA,3200,NA,NA,NA,DFO,959
UEI-DFO-FL-1995-0002,1995-06-20,1995-06-23,3,Monsoonal rain,NA,NA,NA,26.0363,92.8902,1,102906.11,17,NA,1000000,NA,NA,NA,DFO,963
UEI-DFO-FL-1995-0003,1995-01-09,1995-09-20,254,Monsoonal rain,NA,NA,NA,28.2424,76.8263,1,762936.89,600,NA,2000000,NA,NA,NA,DFO,990
UEI-DFO-FL-1995-0004,1995-05-09,1995-08-09,92,Monsoonal rain,NA,NA,NA,27.5887,88.4616,1,6520.57,35,NA,0,NA,NA,NA,DFO,992
UEI-DFO-FL-1995-0005,1995-09-26,1995-02-10,NA,Monsoonal rain,NA,NA,NA,22.4615,87.3749,1,308073.2,144,NA,510000,NA,NA,NA,DFO,1010
UEI-DFO-FL-1995-0006,1995-10-20,1995-10-23,3,Tropical cyclone,NA,NA,NA,16.4132,80.612,1,262803.2,94,NA,12000,NA,NA,NA,DFO,1027
UEI-DFO-FL-1996-0001,1996-10-06,1996-06-30,NA,Monsoonal rain,NA,NA,NA,26.5766,73.762,1,328726.92,63,NA,20000,NA,NA,NA,DFO,1080
UEI-DFO-FL-1996-0002,1996-10-07,1996-07-24,NA,Monsoonal rain,NA,NA,NA,27.4105,92.3599,1,128966.83,82,NA,3000000,NA,NA,NA,DFO,1088
UEI-DFO-FL-1996-0003,1996-07-17,1996-10-08,83,Heavy rain,NA,NA,NA,24.7685,85.6883,1,171939.46,74,NA,4000000,NA,NA,NA,DFO,1090
UEI-DFO-FL-1996-0004,1996-10-21,1996-10-25,4,Heavy Rain,NA,NA,NA,15.0341,78.7288,1,177527.02,326,NA,100000,NA,NA,NA,DFO,1125
UEI-DFO-FL-1996-0005,1996-06-11,1996-10-11,122,Tropical Cyclone,NA,NA,NA,17.0009,81.7657,2,21445.46,2500,NA,140000,NA,NA,NA,DFO,1128
UEI-DFO-FL-1997-0001,1997-01-08,1997-11-08,304,Monsoonal rain,NA,NA,NA,24.0572,86.2554,1,201818.75,24,NA,100000,NA,NA,NA,DFO,1168
UEI-DFO-FL-1997-0002,1997-08-08,1997-08-14,6,Monsoonal rain,NA,NA,NA,31.7905,77.3409,1,57530.65,200,NA,0,NA,NA,NA,DFO,1172
UEI-DFO-FL-1997-0003,1997-06-22,1997-08-26,65,Monsoonal rain,NA,NA,NA,22.4404,71.3091,1,183142.55,273,NA,20000,NA,NA,NA,DFO,1232
UEI-DFO-FL-1997-0004,1997-05-07,1997-07-22,76,Monsoonal rain,NA,NA,NA,9.49041,76.6811,1,233024.37,100,NA,0,NA,NA,NA,DFO,1256
UEI-DFO-FL-1997-0005,1997-05-07,1997-07-14,68,Monsoonal rain,NA,NA,NA,26.0909,92.9144,1,70603.06,97,NA,0,NA,NA,NA,DFO,1258
UEI-DFO-FL-1997-0006,1997-08-22,1997-08-26,4,Monsoonal rain,NA,NA,NA,33.9398,74.8298,1,40014.04,26,NA,0,NA,NA,NA,DFO,1265
UEI-DFO-FL-1997-0007,1997-08-19,1997-08-24,5,Monsoonal rain,NA,NA,NA,18.8234,75.4418,1,228334.99,50,NA,10000,NA,NA,NA,DFO,1267
UEI-DFO-FL-1997-0008,1997-09-19,1997-09-24,5,Tropical cyclone,NA,NA,NA,16.9874,82.1012,1,80644.64,32,NA,20000,NA,NA,NA,DFO,1275
UEI-DFO-FL-1997-0009,1997-04-12,1997-09-12,153,Monsoonal rain,NA,NA,NA,13.8493,78.9883,1,384888.4,6,NA,0,NA,NA,NA,DFO,1295
UEI-DFO-FL-1998-0001,1998-09-06,1998-11-06,61,Extra-tropical cyclone,NA,NA,NA,24.0181,68.8677,1,4931.72,1126,NA,15000,NA,NA,NA,DFO,1383
UEI-DFO-FL-1998-0002,1998-09-16,1998-09-18,2,"Dam/Levy, break or release",NA,NA,NA,20.4037,74.4164,1,214517.36,12,NA,50000,NA,NA,NA,DFO,1444
UEI-DFO-FL-1998-0003,1998-01-10,1998-10-20,283,Heavy rain,NA,NA,NA,16.1464,79.4042,1,194230.08,230,NA,80000,NA,NA,NA,DFO,1457
UEI-DFO-FL-1999-0001,1999-09-24,1999-09-29,5,Torrential rain,NA,NA,NA,23.3997,88.9474,1,168965.63,45,NA,0,NA,NA,NA,DFO,1559
