Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration
Dadra & Nagar Haveli,10,0,618459,1
Daman,0,0,190125,
Diu,0,0,67412,
North  & Middle Andaman,0,0,101677,1
South Andaman,1,0,257900,2
Nicobars,0,0,27340,
Srikakulam,144,0,2726592,6
Vizianagaram,63,107,2443656,9
Visakhapatnam,106,115,4885485,10
Krishna,210,1,4751934,8
Guntur,188,108,5374652,8
East Godavari,222,1,5569277,9
Prakasam,177,0,3731704,8
Kurnool,161,108,4618046,7
Anantapur,118,1,4537583,10
Sri Potti Sriramulu Nell*,175,0,3285473,6
West Godavari,232,0,4167944,8
Y.S.R.,144,1,3162142,9
Chittoor,124,0,4580686,8
Upper Subansiri,5,1,119722,7
Anjaw,5,1,24066,5
Changlang,4,1,183018,5
Tawang,92,8,60141,6
Papum Pare,73,9,245559,4
Tirap,4,1,69112,5
East Siang,13,668,86959,6
Lohit,14,1,51927,6
Kurung Kumey,17,3,77223,4
Lower Subansiri,12,1,99671,5
East Kameng,0,0,87734,2
West Kameng,22,6,99039,4
Kra Daadi,7,2,93220,5
Namsai,4,1,120106,5
Longding,4,1,60400,5
Upper Siang,24,671,34326,4
Lower Siang,4,1,19141,5
Upper Dibang Valley,5,1,10102,5
Lower Dibang Valley,5,1,59491,4
Siang,4,1,48365,5
Shi Yomi,4,1,12507,5
Pakke Kessang,3,1,18414,5
West Siang,52,668,48422,7
Lepa Rada,3,1,22468,5
Kamle,3,1,25202,5
Tinsukia,105,45,1408250,13
Dhemaji,162,35,702202,9
Dibrugarh,147,47,1510242,10
Lakhimpur,214,39,1161342,9
Sivasagar,117,15,800874,12
Jorhat,205,4,1037431,13
Sonitpur,144,8,1462078,9
Golaghat,83,5,1310870,9
Udalguri,51,2,909069,10
Chirang,56,1,616102,9
Baksa,51,1,1258285,7
Nagaon,144,5,2348489,8
Kokrajhar,71,1,1311786,13
Darrang,150,3,1126535,9
Barpeta,159,5,1877307,9
Nalbari,130,1,978546,10
Morigaon,81,3,1127394,8
Kamrup,181,13,1546068,8
Bongaigaon,79,1,803266,11
Dhubri,141,3,1376422,12
Kamrup Metropolitan,7,2,1437551,1
Goalpara,158,5,1063871,10
Dima Hasao,41,1,288305,8
Cachar,194,33,2105643,8
Karimganj,116,14,1393118,11
Hailakandi,73,6,765445,9
Charaideo,50,1,496227,18
Majuli,54,1,147155,11
Biswanath,56,1,666698,10
Hojai,57,1,1112181,10
South Salmara Mancachar,39,1,533060,16
Karbi Anglong,66,5,693265,20
West Karbi Anglong,38,1,363939,26
Pashchim Champaran,194,11,4925046,20
Purba Champaran,184,20,6322257,19
Sitamarhi,196,1,4182895,20
Sheohar,136,1,851775,23
Gopalganj,129,10,2913408,24
Samastipur,152,10,5463227,21
Katihar,221,2,3735857,20
Khagaria,166,10,2060105,23
Bhojpur,119,0,3338604,21
Buxar,89,0,2014287,25
Darbhanga,207,9,4562640,18
Saharsa,167,9,2422652,23
Kaimur (bhabua),88,0,1966164,27
Rohtas,82,0,3605080,29
Jamui,80,0,2203798,29
Banka,120,0,2787874,26
Nawada,98,23,2765346,25
Gaya,122,0,5429170,23
Munger,134,4,1690301,22
Vaishali,111,2,4598311,23
Begusarai,126,10,3830215,22
Bhagalpur,161,12,3509828,20
Lakhisarai,89,0,1174729,25
Sheikhpura,82,0,820089,28
Arwal,85,0,591972,27
Jehanabad,87,0,1409612,27
Nalanda,108,0,3649192,23
Patna,381,30,6868950,16
Saran,177,2,4674827,22
Siwan,133,0,3880318,23
Muzaffarpur,201,18,6144680,19
Madhepura,156,0,2498415,24
Araria,162,0,3634320,23
Supaul,162,10,2904278,22
Madhubani,216,10,5126077,19
Purnia,166,0,4127576,21
Kishanganj,143,0,2214692,22
Aurangabad,301,46,3160597,13
Chandigarh,17,13,897511,2
Mahasamund,5,56,1179980,4
Uttar Bastar Kanker,7,2,868469,1
Narayanpur,6,2,120311,2
Dakshin Bastar Dantewada,0,0,332104,
Bastar,9,38,948753,4
Kondagaon,0,0,656011,
Gariaband,0,0,777859,
Raipur,39,66,2814996,3
Durg,16,0,2010685,2
Dhamtari,13,1,897907,1
Balod,0,0,961306,3
Koriya,1,0,763582,1
Jashpur,2,0,942821,1
Korba,1,1,1414402,2
Kabeerdham,0,0,1131600,2
Janjgir - Champa,2,2,2018726,2
Bametara,3,0,909116,2
Rajnandgaon,23,14,1792617,2
Surajpur,0,0,917283,
Baloda Bazar,0,0,1681629,2
Mungeli,2,4,784748,2
Surguja,12,2,971194,1
Balrampur,58,26,853775,20
Bijapur,85,20,275997,9
Raigarh,328,93,1654533,3
Bilaspur,111,9,2180689,5
Sukma,0,0,259382,1
North,19,9,2128488,3
North East,2,7,1444919,3
West,2,6,3053772,3
East ,0,0,1368632,
South West,13,4,1719303,3
Central,5,13,1667718,3
New Delhi,21,20,1064852,3
South,2,4,1636592,3
Shahdara,2,4,1645700,3
South East,2,4,1758195,3
North West,2,4,2287355,3
North Goa,7,4,718288,4
South Goa,2,4,857449,16
