Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Dadra & Nagar Haveli,3.614704922,0.645537217,2.969167705
Daman,2.853534384,1.308995942,1.544538442
Diu,5.79981831,4.979981831,0.819836479
North  & Middle Andaman,1.3148171,0,1.3148171
South Andaman,1.443452407,0,1.443452407
Nicobars,0.090612489,0,0.090612489
Srikakulam,4.01307877,0.566374643,3.446704127
Vizianagaram,1.110588388,0.320586402,0.790001986
Visakhapatnam,1.175590784,0.439675977,0.735914807
Krishna,4.604283716,3.894573341,0.709710375
Guntur,10.2423074,0.999528068,9.242779332
East Godavari,6.191781457,2.48908494,3.702696517
Prakasam,1.152408401,0.273749091,0.87865931
Kurnool,0.793739864,0.504632198,0.289107666
Anantapur,0.698641838,0.216018195,0.482623643
Sri Potti Sriramulu Nell*,4.296954395,3.608219113,0.688735282
West Godavari,5.603589524,2.064339191,3.539250333
Y.S.R.,1.141752714,1.095797136,0.045955578
Chittoor,0.573483172,0.068957975,0.504525197
Upper Subansiri,1.234996868,0.078758779,1.156238089
Anjaw,1.599292296,0.251543379,1.347748917
Changlang,2.538486995,0.021259348,2.517227647
Tawang,1.104117118,0.227751689,0.876365429
Papum Pare,0.846868747,0.021507801,0.825360946
Tirap,0.650808941,0.020888139,0.629920802
East Siang,3.916385666,1.35629866,2.560087006
Lohit,2.719050727,0.57149925,2.147551477
Kurung Kumey,0.581168345,0.025194178,0.555974167
Lower Subansiri,0.836132857,0.006756278,0.829376579
East Kameng,1.388336152,0.061410827,1.326925325
West Kameng,1.93207052,0.043990415,1.888080105
Kra Daadi,1.846265574,0.008415915,1.837849659
Namsai,4.082402322,0.299110207,3.783292115
Longding,0.638916752,0,0.638916752
Upper Siang,2.722491305,0.336009842,2.386481463
Lower Siang,2.214148435,0.042159747,2.171988688
Upper Dibang Valley,1.084032399,0.372682252,0.711350147
Lower Dibang Valley,1.560368914,0.162468901,1.397900013
Siang,2.518308001,0.498407734,2.019900267
Shi Yomi,0.730870815,0.051292052,0.679578763
Pakke Kessang,1.745384121,0.023431627,1.721952494
West Siang,0.744207577,0.123427923,0.620779654
Lepa Rada,0.870628148,0,0.870628148
Kamle,2.140222737,0.304270955,1.835951782
